18:55:18 --- Epoch:0	Train loss: 2.2171	Valid loss: 1.7731	Train accuracy: 50.78	Valid accuracy: 53.02	Valid average accuracy: 53.02	Valid Standard deviation: 0.00
18:56:13 --- Epoch:1	Train loss: 1.0860	Valid loss: 0.6767	Train accuracy: 78.81	Valid accuracy: 80.68	Valid average accuracy: 66.85	Valid Standard deviation: 19.56
18:57:07 --- Epoch:2	Train loss: 0.5925	Valid loss: 0.4864	Train accuracy: 83.44	Valid accuracy: 85.00	Valid average accuracy: 72.90	Valid Standard deviation: 17.35
18:58:02 --- Epoch:3	Train loss: 0.4680	Valid loss: 0.3914	Train accuracy: 86.03	Valid accuracy: 87.65	Valid average accuracy: 76.59	Valid Standard deviation: 15.97
18:58:56 --- Epoch:4	Train loss: 0.4029	Valid loss: 0.3365	Train accuracy: 87.39	Valid accuracy: 89.30	Valid average accuracy: 79.13	Valid Standard deviation: 14.96
18:59:50 --- Epoch:5	Train loss: 0.3615	Valid loss: 0.2994	Train accuracy: 88.66	Valid accuracy: 90.57	Valid average accuracy: 81.04	Valid Standard deviation: 14.17
19:00:45 --- Epoch:6	Train loss: 0.3237	Valid loss: 0.2796	Train accuracy: 89.74	Valid accuracy: 90.98	Valid average accuracy: 82.46	Valid Standard deviation: 13.47
19:01:39 --- Epoch:7	Train loss: 0.2982	Valid loss: 0.2518	Train accuracy: 90.60	Valid accuracy: 91.92	Valid average accuracy: 83.64	Valid Standard deviation: 12.91
19:02:33 --- Epoch:8	Train loss: 0.2762	Valid loss: 0.2254	Train accuracy: 91.27	Valid accuracy: 92.92	Valid average accuracy: 84.67	Valid Standard deviation: 12.47
19:03:27 --- Epoch:9	Train loss: 0.2547	Valid loss: 0.2228	Train accuracy: 91.74	Valid accuracy: 92.73	Valid average accuracy: 85.48	Valid Standard deviation: 12.03
19:04:21 --- Epoch:10	Train loss: 0.2381	Valid loss: 0.2060	Train accuracy: 92.01	Valid accuracy: 93.25	Valid average accuracy: 86.18	Valid Standard deviation: 11.65
19:05:16 --- Epoch:11	Train loss: 0.2256	Valid loss: 0.1824	Train accuracy: 93.05	Valid accuracy: 94.32	Valid average accuracy: 86.86	Valid Standard deviation: 11.35
19:06:10 --- Epoch:12	Train loss: 0.2118	Valid loss: 0.1735	Train accuracy: 93.36	Valid accuracy: 94.45	Valid average accuracy: 87.44	Valid Standard deviation: 11.07
19:07:04 --- Epoch:13	Train loss: 0.1987	Valid loss: 0.1592	Train accuracy: 93.72	Valid accuracy: 95.03	Valid average accuracy: 87.99	Valid Standard deviation: 10.83
19:07:59 --- Epoch:14	Train loss: 0.1902	Valid loss: 0.1515	Train accuracy: 94.15	Valid accuracy: 95.37	Valid average accuracy: 88.48	Valid Standard deviation: 10.61
19:09:00 --- Epoch:15	Train loss: 0.1769	Valid loss: 0.1442	Train accuracy: 94.29	Valid accuracy: 95.32	Valid average accuracy: 88.91	Valid Standard deviation: 10.39
19:10:00 --- Epoch:16	Train loss: 0.1652	Valid loss: 0.1295	Train accuracy: 94.79	Valid accuracy: 95.85	Valid average accuracy: 89.31	Valid Standard deviation: 10.20
19:10:54 --- Epoch:17	Train loss: 0.1586	Valid loss: 0.1348	Train accuracy: 94.97	Valid accuracy: 95.35	Valid average accuracy: 89.65	Valid Standard deviation: 10.00
19:11:47 --- Epoch:18	Train loss: 0.1502	Valid loss: 0.1183	Train accuracy: 95.30	Valid accuracy: 96.15	Valid average accuracy: 89.99	Valid Standard deviation: 9.83
19:12:41 --- Epoch:19	Train loss: 0.1428	Valid loss: 0.1115	Train accuracy: 95.72	Valid accuracy: 96.45	Valid average accuracy: 90.32	Valid Standard deviation: 9.67
19:13:35 --- Epoch:20	Train loss: 0.1363	Valid loss: 0.1049	Train accuracy: 95.75	Valid accuracy: 96.60	Valid average accuracy: 90.61	Valid Standard deviation: 9.53
19:14:29 --- Epoch:21	Train loss: 0.1280	Valid loss: 0.1051	Train accuracy: 95.83	Valid accuracy: 96.42	Valid average accuracy: 90.88	Valid Standard deviation: 9.38
19:15:25 --- Epoch:22	Train loss: 0.1246	Valid loss: 0.0986	Train accuracy: 96.04	Valid accuracy: 96.82	Valid average accuracy: 91.14	Valid Standard deviation: 9.25
19:16:25 --- Epoch:23	Train loss: 0.1194	Valid loss: 0.1052	Train accuracy: 96.11	Valid accuracy: 96.47	Valid average accuracy: 91.36	Valid Standard deviation: 9.11
19:17:24 --- Epoch:24	Train loss: 0.1161	Valid loss: 0.0884	Train accuracy: 96.41	Valid accuracy: 97.23	Valid average accuracy: 91.59	Valid Standard deviation: 9.00
19:18:22 --- Epoch:25	Train loss: 0.1078	Valid loss: 0.0826	Train accuracy: 96.72	Valid accuracy: 97.30	Valid average accuracy: 91.81	Valid Standard deviation: 8.88
19:19:21 --- Epoch:26	Train loss: 0.1042	Valid loss: 0.0842	Train accuracy: 96.73	Valid accuracy: 97.40	Valid average accuracy: 92.02	Valid Standard deviation: 8.78
19:20:17 --- Epoch:27	Train loss: 0.1015	Valid loss: 0.0809	Train accuracy: 97.08	Valid accuracy: 97.52	Valid average accuracy: 92.22	Valid Standard deviation: 8.68
19:21:13 --- Epoch:28	Train loss: 0.0937	Valid loss: 0.0715	Train accuracy: 97.15	Valid accuracy: 97.72	Valid average accuracy: 92.41	Valid Standard deviation: 8.58
19:22:10 --- Epoch:29	Train loss: 0.0922	Valid loss: 0.0708	Train accuracy: 97.26	Valid accuracy: 97.85	Valid average accuracy: 92.59	Valid Standard deviation: 8.49
