17:41:36 --- Epoch:0	Train loss: 2.0924	Valid loss: 1.5007	Train accuracy: 58.59	Valid accuracy: 59.65	Valid average accuracy: 59.65	Valid Standard deviation: 0.00
17:42:32 --- Epoch:1	Train loss: 1.0989	Valid loss: 0.8163	Train accuracy: 74.50	Valid accuracy: 76.05	Valid average accuracy: 67.85	Valid Standard deviation: 11.60
17:43:28 --- Epoch:2	Train loss: 0.7364	Valid loss: 0.6000	Train accuracy: 79.43	Valid accuracy: 81.72	Valid average accuracy: 72.47	Valid Standard deviation: 11.46
17:44:24 --- Epoch:3	Train loss: 0.5894	Valid loss: 0.4932	Train accuracy: 83.32	Valid accuracy: 85.00	Valid average accuracy: 75.60	Valid Standard deviation: 11.26
17:45:20 --- Epoch:4	Train loss: 0.4969	Valid loss: 0.4226	Train accuracy: 85.38	Valid accuracy: 87.32	Valid average accuracy: 77.95	Valid Standard deviation: 11.07
17:46:15 --- Epoch:5	Train loss: 0.4353	Valid loss: 0.3680	Train accuracy: 86.67	Valid accuracy: 88.55	Valid average accuracy: 79.71	Valid Standard deviation: 10.81
17:47:11 --- Epoch:6	Train loss: 0.3935	Valid loss: 0.3264	Train accuracy: 87.91	Valid accuracy: 89.60	Valid average accuracy: 81.13	Valid Standard deviation: 10.55
17:48:07 --- Epoch:7	Train loss: 0.3583	Valid loss: 0.3061	Train accuracy: 88.87	Valid accuracy: 90.05	Valid average accuracy: 82.24	Valid Standard deviation: 10.26
17:49:02 --- Epoch:8	Train loss: 0.3342	Valid loss: 0.2724	Train accuracy: 89.91	Valid accuracy: 91.40	Valid average accuracy: 83.26	Valid Standard deviation: 10.07
17:49:57 --- Epoch:9	Train loss: 0.3046	Valid loss: 0.2527	Train accuracy: 89.93	Valid accuracy: 91.83	Valid average accuracy: 84.12	Valid Standard deviation: 9.88
17:50:53 --- Epoch:10	Train loss: 0.2847	Valid loss: 0.2251	Train accuracy: 91.10	Valid accuracy: 92.93	Valid average accuracy: 84.92	Valid Standard deviation: 9.74
17:51:48 --- Epoch:11	Train loss: 0.2676	Valid loss: 0.2249	Train accuracy: 91.25	Valid accuracy: 92.58	Valid average accuracy: 85.56	Valid Standard deviation: 9.55
17:52:44 --- Epoch:12	Train loss: 0.2503	Valid loss: 0.1986	Train accuracy: 92.38	Valid accuracy: 94.03	Valid average accuracy: 86.21	Valid Standard deviation: 9.44
17:53:39 --- Epoch:13	Train loss: 0.2332	Valid loss: 0.1839	Train accuracy: 92.56	Valid accuracy: 94.47	Valid average accuracy: 86.80	Valid Standard deviation: 9.33
17:54:34 --- Epoch:14	Train loss: 0.2215	Valid loss: 0.1722	Train accuracy: 93.00	Valid accuracy: 94.82	Valid average accuracy: 87.33	Valid Standard deviation: 9.23
17:55:30 --- Epoch:15	Train loss: 0.2097	Valid loss: 0.1637	Train accuracy: 93.38	Valid accuracy: 94.77	Valid average accuracy: 87.80	Valid Standard deviation: 9.11
17:56:25 --- Epoch:16	Train loss: 0.2002	Valid loss: 0.1528	Train accuracy: 93.78	Valid accuracy: 95.32	Valid average accuracy: 88.24	Valid Standard deviation: 9.00
17:57:21 --- Epoch:17	Train loss: 0.1887	Valid loss: 0.1498	Train accuracy: 94.00	Valid accuracy: 95.18	Valid average accuracy: 88.63	Valid Standard deviation: 8.89
17:58:16 --- Epoch:18	Train loss: 0.1808	Valid loss: 0.1341	Train accuracy: 94.64	Valid accuracy: 95.85	Valid average accuracy: 89.01	Valid Standard deviation: 8.79
17:59:12 --- Epoch:19	Train loss: 0.1728	Valid loss: 0.1314	Train accuracy: 94.77	Valid accuracy: 96.02	Valid average accuracy: 89.36	Valid Standard deviation: 8.70
18:00:07 --- Epoch:20	Train loss: 0.1637	Valid loss: 0.1249	Train accuracy: 94.81	Valid accuracy: 96.15	Valid average accuracy: 89.68	Valid Standard deviation: 8.61
18:01:04 --- Epoch:21	Train loss: 0.1558	Valid loss: 0.1145	Train accuracy: 95.20	Valid accuracy: 96.78	Valid average accuracy: 90.00	Valid Standard deviation: 8.54
18:02:00 --- Epoch:22	Train loss: 0.1523	Valid loss: 0.1111	Train accuracy: 95.41	Valid accuracy: 96.77	Valid average accuracy: 90.30	Valid Standard deviation: 8.46
18:02:56 --- Epoch:23	Train loss: 0.1429	Valid loss: 0.1034	Train accuracy: 95.77	Valid accuracy: 97.00	Valid average accuracy: 90.58	Valid Standard deviation: 8.39
18:03:51 --- Epoch:24	Train loss: 0.1381	Valid loss: 0.1035	Train accuracy: 96.02	Valid accuracy: 96.83	Valid average accuracy: 90.83	Valid Standard deviation: 8.30
18:04:47 --- Epoch:25	Train loss: 0.1336	Valid loss: 0.0925	Train accuracy: 96.17	Valid accuracy: 97.40	Valid average accuracy: 91.08	Valid Standard deviation: 8.24
18:05:42 --- Epoch:26	Train loss: 0.1241	Valid loss: 0.1054	Train accuracy: 95.82	Valid accuracy: 96.82	Valid average accuracy: 91.29	Valid Standard deviation: 8.15
18:06:38 --- Epoch:27	Train loss: 0.1265	Valid loss: 0.0893	Train accuracy: 96.22	Valid accuracy: 97.33	Valid average accuracy: 91.51	Valid Standard deviation: 8.08
18:07:36 --- Epoch:28	Train loss: 0.1199	Valid loss: 0.0944	Train accuracy: 96.30	Valid accuracy: 97.05	Valid average accuracy: 91.70	Valid Standard deviation: 8.00
18:08:39 --- Epoch:29	Train loss: 0.1139	Valid loss: 0.0817	Train accuracy: 96.67	Valid accuracy: 97.63	Valid average accuracy: 91.90	Valid Standard deviation: 7.94
