18:40:21 --- Epoch:34	Train loss: 0.0459	Valid loss: 0.0417	Train accuracy: 98.72	Valid accuracy: 98.78	Valid average accuracy: 95.80	Valid Standard deviation: 5.43
18:41:14 --- Epoch:35	Train loss: 0.0496	Valid loss: 0.0421	Train accuracy: 98.62	Valid accuracy: 98.75	Valid average accuracy: 95.88	Valid Standard deviation: 5.38
18:42:08 --- Epoch:36	Train loss: 0.0463	Valid loss: 0.0418	Train accuracy: 98.57	Valid accuracy: 98.73	Valid average accuracy: 95.96	Valid Standard deviation: 5.32
18:43:02 --- Epoch:37	Train loss: 0.0455	Valid loss: 0.0357	Train accuracy: 98.75	Valid accuracy: 98.87	Valid average accuracy: 96.03	Valid Standard deviation: 5.27
18:43:55 --- Epoch:38	Train loss: 0.0429	Valid loss: 0.0369	Train accuracy: 98.83	Valid accuracy: 98.95	Valid average accuracy: 96.11	Valid Standard deviation: 5.22
18:44:49 --- Epoch:39	Train loss: 0.0436	Valid loss: 0.0348	Train accuracy: 98.79	Valid accuracy: 99.13	Valid average accuracy: 96.18	Valid Standard deviation: 5.18
18:45:43 --- Epoch:40	Train loss: 0.0429	Valid loss: 0.0341	Train accuracy: 98.87	Valid accuracy: 99.02	Valid average accuracy: 96.25	Valid Standard deviation: 5.13
18:46:37 --- Epoch:41	Train loss: 0.0429	Valid loss: 0.0380	Train accuracy: 98.75	Valid accuracy: 98.85	Valid average accuracy: 96.31	Valid Standard deviation: 5.08
18:47:32 --- Epoch:42	Train loss: 0.0387	Valid loss: 0.0349	Train accuracy: 98.76	Valid accuracy: 98.93	Valid average accuracy: 96.37	Valid Standard deviation: 5.04
18:48:28 --- Epoch:43	Train loss: 0.0400	Valid loss: 0.0355	Train accuracy: 98.91	Valid accuracy: 99.05	Valid average accuracy: 96.44	Valid Standard deviation: 5.00
18:49:24 --- Epoch:44	Train loss: 0.0388	Valid loss: 0.0336	Train accuracy: 98.94	Valid accuracy: 98.97	Valid average accuracy: 96.49	Valid Standard deviation: 4.95
18:50:19 --- Epoch:45	Train loss: 0.0375	Valid loss: 0.0310	Train accuracy: 98.97	Valid accuracy: 99.20	Valid average accuracy: 96.55	Valid Standard deviation: 4.91
18:51:13 --- Epoch:46	Train loss: 0.0355	Valid loss: 0.0323	Train accuracy: 99.01	Valid accuracy: 99.05	Valid average accuracy: 96.60	Valid Standard deviation: 4.87
18:52:07 --- Epoch:47	Train loss: 0.0354	Valid loss: 0.0307	Train accuracy: 98.90	Valid accuracy: 99.13	Valid average accuracy: 96.66	Valid Standard deviation: 4.84
18:53:01 --- Epoch:48	Train loss: 0.0376	Valid loss: 0.0301	Train accuracy: 99.08	Valid accuracy: 99.15	Valid average accuracy: 96.71	Valid Standard deviation: 4.80
18:53:55 --- Epoch:49	Train loss: 0.0353	Valid loss: 0.0310	Train accuracy: 99.05	Valid accuracy: 99.10	Valid average accuracy: 96.76	Valid Standard deviation: 4.76
